time,source,target,x,u,t_last_spike
190.0,1303,2524,1.0,0.19,-1.0
190.0,1304,715,1.0,0.19,-1.0
190.0,1305,6435,1.0,0.19,-1.0
190.0,1306,4324,1.0,0.19,-1.0
190.0,1307,2576,1.0,0.19,-1.0
190.0,1308,6105,0.6561,0.3439,126.10000000000001
190.0,1309,1310,1.0,0.19,-1.0
190.0,1310,7832,0.6561,0.3439,19.45
190.0,1311,5971,1.0,0.19,-1.0
190.0,1312,4906,1.0,0.19,-1.0
190.0,1313,2821,1.0,0.19,-1.0
190.0,1314,1316,1.0,0.19,-1.0
190.0,1315,219,1.0,0.19,-1.0
190.0,1316,3659,1.0,0.19,-1.0
190.0,1317,1424,1.0,0.19,-1.0
190.0,1318,1713,1.0,0.19,-1.0
190.0,1319,1010,1.0,0.19,-1.0
190.0,1320,4028,1.0,0.19,-1.0
190.0,1321,832,1.0,0.19,-1.0
190.0,1322,3545,1.0,0.19,-1.0
190.0,1323,6452,1.0,0.19,-1.0
190.0,1324,5142,1.0,0.19,-1.0
190.0,1325,3907,1.0,0.19,-1.0
190.0,1326,1088,1.0,0.19,-1.0
190.0,1327,2691,0.6561,0.3439,74.2
190.0,1328,6064,1.0,0.19,-1.0
190.0,1329,3236,1.0,0.19,-1.0
190.0,1330,2416,0.6561,0.3439,43.65
190.0,1331,2028,0.6561,0.3439,139.95000000000002
190.0,1332,1655,1.0,0.19,-1.0
190.0,1333,3694,0.6561,0.3439,160.9
190.0,1334,7613,1.0,0.19,-1.0
190.0,1335,3257,1.0,0.19,-1.0
190.0,1336,3821,1.0,0.19,-1.0
190.0,1337,5292,1.0,0.19,-1.0
190.0,1338,6736,1.0,0.19,-1.0
190.0,1339,2597,1.0,0.19,-1.0
190.0,1340,2832,1.0,0.19,-1.0
190.0,1341,5298,1.0,0.19,-1.0
190.0,1342,4378,1.0,0.19,-1.0
190.0,1343,7714,1.0,0.19,-1.0
190.0,1344,5274,1.0,0.19,-1.0
190.0,1345,1631,1.0,0.19,-1.0
190.0,1346,7999,0.6561,0.3439,94.25
190.0,1347,1079,1.0,0.19,-1.0
190.0,1348,4079,1.0,0.19,-1.0
190.0,1349,7016,1.0,0.19,-1.0
190.0,1350,2346,1.0,0.19,-1.0
190.0,1351,2484,1.0,0.19,-1.0
190.0,1352,6062,1.0,0.19,-1.0
190.0,1353,4468,0.6561,0.3439,97.95
190.0,1354,6622,1.0,0.19,-1.0
190.0,1355,6112,1.0,0.19,-1.0
190.0,1356,6022,1.0,0.19,-1.0
190.0,1357,2015,1.0,0.19,-1.0
190.0,1358,7202,1.0,0.19,-1.0
190.0,1359,2712,1.0,0.19,-1.0
190.0,1360,900,1.0,0.19,-1.0
190.0,1361,4296,1.0,0.19,-1.0
190.0,1362,1542,1.0,0.19,-1.0
190.0,1363,1754,1.0,0.19,-1.0
190.0,1364,6577,1.0,0.19,-1.0
190.0,1365,213,1.0,0.19,-1.0
190.0,1366,7442,1.0,0.19,-1.0
190.0,1367,3800,1.0,0.19,-1.0
190.0,1368,3602,1.0,0.19,-1.0
190.0,1369,3797,1.0,0.19,-1.0
190.0,1370,516,1.0,0.19,-1.0
190.0,1371,5543,1.0,0.19,-1.0
190.0,1372,5776,1.0,0.19,-1.0
190.0,1373,7139,0.6561,0.3439,42.7
190.0,1374,6616,1.0,0.19,-1.0
190.0,1375,7933,1.0,0.19,-1.0
190.0,1376,2416,0.6561,0.3439,160.25
190.0,1377,5092,1.0,0.19,-1.0
190.0,1378,5952,1.0,0.19,-1.0
190.0,1379,5357,1.0,0.19,-1.0
190.0,1380,1287,1.0,0.19,-1.0
190.0,1381,6124,1.0,0.19,-1.0
190.0,1382,6672,1.0,0.19,-1.0
190.0,1383,961,1.0,0.19,-1.0
190.0,1384,5176,0.6561,0.3439,112.75
190.0,1385,628,1.0,0.19,-1.0
190.0,1386,3405,1.0,0.19,-1.0
190.0,1387,3516,1.0,0.19,-1.0
190.0,1388,2449,1.0,0.19,-1.0
190.0,1389,1205,1.0,0.19,-1.0
190.0,1390,5468,1.0,0.19,-1.0
190.0,1391,4911,0.6561,0.3439,78.35000000000001
190.0,1392,5229,0.6561,0.3439,139.70000000000002
190.0,1393,104,1.0,0.19,-1.0
190.0,1394,2012,1.0,0.19,-1.0
190.0,1395,1751,1.0,0.19,-1.0
190.0,1396,1770,1.0,0.19,-1.0
190.0,1397,2632,1.0,0.19,-1.0
190.0,1398,650,1.0,0.19,-1.0
190.0,1399,994,1.0,0.19,-1.0
190.0,1400,4825,0.6561,0.3439,65.65
190.0,1401,916,0.6561,0.3439,78.4
